"","n.gram","counts"
"245","throw medi kits around",2
"246","thus great trek can",2
"247","thy face thy child",2
"248","tried set sexual encounter",2
"249","turn away thy face",2
"250","two years ago came",2
"251","uk amazon de amazon",2
"252","uninterrupted open highest form",2
"253","united states fences youth",2
"254","unto father ye always",2
"255","upper west side phenomenon",2
"256","via civil society nation",2
"257","waiti and sunny day",2
"258","want bring best person",2
"259","washington president barack obama",2
"260","water drop bb cream",2
"261","weapon att accuracy proc",2
"262","website comes amazon services",2
"263","weighed exactly lbs sissy",2
"264","went go get dressed",2
"265","whine whine whine whine",2
"266","wome and health program",2
"267","women percent men point",2
"268","won percent women percent",2
"269","wordpress com paicipant amazon",3
"270","world embracing alternate paradigm",3
"271","ye always remember ye",2
"272","ye shall keep feast",2
"273","year removed u troops",2
"274","young good looking tanned",2
