"","n.gram","counts"
"234","al qaida",4
"235","al qaradhawi",2
"236","ala garments",2
"237","albe camus",2
"238","albe pujols",3
"239","album got",2
"240","album great",2
"241","alcohol beverages",2
"242","alcohol related",2
"243","alcohol tobacco",2
"244","alcoholic beverages",2
"245","ale yeast",2
"246","alec proposals",2
"247","alice cooper",2
"248","alien eel",2
"249","alive now",3
"250","alive years",2
"251","allah cause",2
"252","allah swt",2
"253","allow go",2
"254","allow us",2
"255","allow work",2
"256","allowed drink",2
"257","allowing children",2
"258","allows company",2
"259","allows people",2
"260","allows us",2
"261","ally caer",2
"262","almighty god",4
"263","almond butter",2
"264","almost always",3
"265","almost anything",3
"266","almost ceainly",3
"267","almost doubled",2
"268","almost every",3
"269","almost finished",2
"270","almost flat",2
"271","almost forgot",2
"272","almost full",2
"273","almost hear",2
"274","almost impossible",4
"275","almost like",4
"276","almost nothing",2
"277","almost time",2
"278","almost well",2
"279","almost year",3
"280","almost years",2
"281","aloha festivals",2
"282","alone going",2
"283","alone just",3
"284","alone one",2
"285","alone though",2
"286","along bottom",2
"287","along friend",2
"288","along lines",5
"289","along literally",2
"290","along make",2
"291","along many",2
"292","along river",2
"293","along second",2
"294","along top",2
"295","along two",2
"296","along way",15
"297","along wine",2
"298","alpine events",2
"299","already announced",2
"300","already become",2
"301","already begun",2
"302","already done",2
"303","already going",2
"304","already high",2
"305","already kids",2
"306","already know",5
"307","already knows",2
"308","already listed",2
"309","already love",2
"310","already now",2
"311","already one",2
"312","already put",2
"313","already running",2
"314","already saw",3
"315","already staed",2
"316","already staing",3
"317","already taken",2
"318","already taking",2
"319","already thought",3
"320","already underway",2
"321","already use",2
"322","already working",2
"323","also able",2
"324","also aims",2
"325","also another",3
"326","also available",2
"327","also avid",2
"328","also become",3
"329","also beginning",2
"330","also believe",4
"331","also bit",2
"332","also bring",2
"333","also brought",2
"334","also called",2
"335","also came",2
"336","also caught",2
"337","also co",3
"338","also come",3
"339","also completely",2
"340","also confirmed",2
"341","also covers",2
"342","also designed",2
"343","also discovered",2
"344","also doubt",2
"345","also earned",2
"346","also entering",2
"347","also expected",3
"348","also featured",2
"349","also find",2
"350","also first",5
"351","also found",4
"352","also funny",3
"353","also get",2
"354","also gets",2
"355","also given",3
"356","also going",5
"357","also good",4
"358","also got",6
"359","also great",4
"360","also hard",2
"361","also health",3
"362","also heard",4
"363","also help",3
"364","also helped",4
"365","also helps",2
"366","also hit",2
"367","also home",3
"368","also huing",2
"369","also imagine",2
"370","also impoant",3
"371","also included",4
"372","also includes",2
"373","also just",3
"374","also known",5
"375","also knows",2
"376","also launched",2
"377","also leave",2
"378","also left",2
"379","also lends",2
"380","also let",3
"381","also like",3
"382","also liked",2
"383","also little",2
"384","also lot",2
"385","also love",2
"386","also made",5
"387","also make",4
"388","also makes",6
"389","also manager",2
"390","also many",4
"391","also maryland",2
"392","also means",3
"393","also met",2
"394","also much",3
"395","also need",5
"396","also new",5
"397","also offer",2
"398","also one",8
"399","also owns",4
"400","also place",2
"401","also played",3
"402","also points",2
"403","also pop",2
"404","also pretty",3
"405","also product",2
"406","also provide",4
"407","also provided",2
"408","also realistic",2
"409","also realized",2
"410","also really",3
"411","also record",2
"412","also recorded",2
"413","also released",2
"414","also risk",2
"415","also say",2
"416","also says",3
"417","also see",7
"418","also seem",2
"419","also seems",2
"420","also seen",4
"421","also served",3
"422","also set",4
"423","also sharp",2
"424","also something",2
"425","also spent",2
"426","also sta",2
"427","also staed",2
"428","also suppo",2
"429","also take",4
"430","also targeted",2
"431","also think",2
"432","also told",4
"433","also took",3
"434","also translate",2
"435","also tried",3
"436","also true",3
"437","also understand",2
"438","also use",2
"439","also used",8
"440","also want",5
"441","also went",2
"442","also work",4
"443","also working",2
"444","alternate paradigm",3
"445","although actually",2
"446","although can",4
"447","although don",2
"448","although first",2
"449","although may",6
"450","although one",4
"451","although probably",2
"452","always able",2
"453","always always",4
"454","always arguing",2
"455","always asking",2
"456","always back",2
"457","always believed",2
"458","always big",2
"459","always blamed",2
"460","always busy",3
"461","always come",2
"462","always done",3
"463","always end",2
"464","always feel",3
"465","always felt",3
"466","always going",2
"467","always good",5
"468","always government",2
"469","always happy",3
"470","always just",2
"471","always kept",2
"472","always know",2
"473","always leave",2
"474","always looked",2
"475","always looking",2
"476","always loved",4
"477","always make",7
"478","always mean",2
"479","always one",2
"480","always play",2
"481","always present",2
"482","always remember",5
"483","always sad",2
"484","always seemed",2
"485","always something",2
"486","always takes",2
"487","always taught",2
"488","always think",2
"489","always thought",5
"490","always time",2
"491","always try",3
"492","always used",2
"493","always wanted",3
"494","always way",3
"495","always work",2
"496","am last",2
"497","amazing experience",3
"498","amazing much",2
"499","amazing think",2
"500","amazing thought",2
"501","amazing well",2
"502","amazon amazon",2
"503","amazon ca",2
"504","amazon co",3
"505","amazon com",5
"506","amazon de",2
"507","amazon es",3
"508","amazon eu",5
"509","amazon fr",3
"510","amazon services",5
"511","america european",2
"512","american citizens",2
"513","american civil",2
"514","american dream",2
"515","american flag",2
"516","american idol",3
"517","american league",2
"518","american man",2
"519","american muslims",3
"520","american people",4
"521","american red",3
"522","american revolution",2
"523","american sign",2
"524","american team",2
"525","american women",4
"526","amino acids",2
"527","amitabh bachchan",2
"528","among best",3
"529","among fastest",2
"530","among issues",2
"531","among list",2
"532","among many",3
"533","among others",4
"534","among things",6
"535","among us",5
"536","amount data",2
"537","amount money",4
"538","amount time",5
"539","amount u",2
"540","amy butler",2
"541","analysts expected",2
"542","analytic thinking",3
"543","anc youth",2
"544","and attempt",2
"545","and basketball",3
"546","and best",4
"547","and clothing",2
"548","and dad",2
"549","and disappearance",2
"550","and favorite",2
"551","and first",3
"552","and good",2
"553","and health",5
"554","and home",2
"555","and honor",2
"556","and husband",2
"557","and issues",2
"558","and journal",3
"559","and last",2
"560","and lawyers",2
"561","and lives",2
"562","and new",2
"563","and progress",2
"564","and relationship",2
"565","and roll",3
"566","and seven",2
"567","and sunny",2
"568","and team",2
"569","and travels",2
"570","and wome",3
"571","andrew bynum",2
"572","andy samberg",2
"573","angel right",2
"574","angeles angels",2
"575","angeles county",3
"576","angeles lakers",2
"577","angeles times",2
"578","angelo marc",2
"579","angels god",2
"580","anglican church",2
"581","anglo saxon",2
"582","angry bird",2
"583","angry birds",5
"584","anheuser busch",4
"585","animal husbandry",2
"586","animal rescue",2
"587","ankle sprain",2
"588","ann dunham",2
"589","ann romney",2
"590","announce winner",3
"591","announced candidacy",2
"592","announced plans",2
"593","announced saturday",2
"594","announced week",2
"595","annual conference",2
"596","annual fee",2
"597","annual meeting",2
"598","annual wages",5
"599","another addition",2
"600","another big",2
"601","another character",2
"602","another city",2
"603","another day",3
"604","another e",2
"605","another example",4
"606","another factor",2
"607","another friend",2
"608","another fun",3
"609","another get",2
"610","another girl",3
"611","another go",2
"612","another guest",2
"613","another hill",2
"614","another horse",2
"615","another human",4
"616","another interesting",2
"617","another issue",2
"618","another man",2
"619","another member",2
"620","another minutes",3
"621","another new",3
"622","another one",14
"623","another pa",3
"624","another person",4
"625","another player",4
"626","another post",5
"627","another project",2
"628","another really",2
"629","another reason",2
"630","another round",2
"631","another season",2
"632","another shot",2
"633","another sleepless",2
"634","another state",2
"635","another story",5
"636","another sweet",2
"637","another taking",2
"638","another thing",2
"639","another time",3
"640","another way",4
"641","another week",4
"642","another woman",2
"643","another year",2
"644","answer question",7
"645","answer questions",7
"646","answer session",2
"647","answered question",2
"648","answered quickly",2
"649","answers way",2
"650","anthony case",2
"651","anthropogenic co",2
"652","anti gun",2
"653","anti islamic",2
"654","anti tank",3
"655","anti war",2
"656","anybody else",2
"657","anyone can",7
"658","anyone else",12
"659","anyone even",2
"660","anyone information",5
"661","anyone knew",3
"662","anyone know",6
"663","anyone say",2
"664","anyone take",3
"665","anything added",2
"666","anything anyone",2
"667","anything away",2
"668","anything can",6
"669","anything d",2
"670","anything else",14
"671","anything exciting",2
"672","anything feel",2
"673","anything just",2
"674","anything like",5
"675","anything mouth",2
"676","anything now",2
"677","anything wanted",2
"678","anything wrong",7
"679","anytime soon",2
"680","anyway got",2
"681","anyway just",2
"682","anyway one",2
"683","anywhere else",5
"684","anywhere near",4
"685","anywhere without",3
"686","apament building",3
"687","apologize lack",2
"688","apostle paul",2
"689","apparently pa",2
"690","appeals cou",2
"691","appears website",2
"692","applicants must",2
"693","apply ones",2
"694","appointed ceo",2
"695","appreciate music",2
"696","appreciated fans",2
"697","appreciation day",2
"698","approval vote",2
"699","approve bonding",2
"700","april block",2
"701","april caught",2
"702","april issue",2
"703","april june",2
"704","april may",3
"705","april th",3
"706","april two",2
"707","arab money",2
"708","arab spring",2
"709","archibald little",2
"710","archival ink",2
"711","area best",2
"712","area hospital",3
"713","area one",3
"714","area take",2
"715","areading pleasure",2
"716","areas body",2
"717","areas just",2
"718","areas paicularly",2
"719","aren t",37
"720","arena district",2
"721","arizona cardinals",2
"722","arizona state",3
"723","arlington texas",3
"724","armed stack",2
"725","arms just",2
"726","army unit",3
"727","around also",2
"728","around am",4
"729","around area",2
"730","around can",2
"731","around city",3
"732","around corner",4
"733","around country",2
"734","around cut",2
"735","around dance",2
"736","around even",2
"737","around every",3
"738","around friends",2
"739","around g",2
"740","around get",3
"741","around globe",5
"742","around go",2
"743","around head",2
"744","around home",2
"745","around house",4
"746","around idea",2
"747","around just",3
"748","around kitchen",2
"749","around like",6
"750","around looking",3
"751","around love",3
"752","around m",3
"753","around mandrel",2
"754","around mid",2
"755","around months",2
"756","around name",2
"757","around neighborhood",2
"758","around net",2
"759","around new",2
"760","around now",2
"761","around one",3
"762","around others",2
"763","around place",2
"764","around room",2
"765","around see",3
"766","around shutting",2
"767","around since",2
"768","around still",2
"769","around theme",2
"770","around things",3
"771","around time",9
"772","around town",4
"773","around us",3
"774","around using",2
"775","around weeks",2
"776","around world",17
"777","arrest case",2
"778","arrested driving",2
"779","arrested dui",2
"780","arrested last",2
"781","arrested man",2
"782","arrests made",2
"783","arrival home",2
"784","arrived back",3
"785","arrives back",2
"786","arshad warsi",2
"787","as center",2
"788","as crafts",2
"789","ascot handicap",2
"790","ash wednesday",2
"791","asheville nc",2
"792","ashto and",2
"793","asian american",2
"794","asian dominated",2
"795","aside cool",2
"796","aside fact",2
"797","aside million",2
"798","ask anyone",2
"799","ask can",2
"800","ask friends",2
"801","ask get",2
"802","ask people",2
"803","ask question",3
"804","ask questions",3
"805","ask someone",2
"806","ask something",2
"807","ask use",2
"808","asked another",2
"809","asked anyone",2
"810","asked better",2
"811","asked call",4
"812","asked friend",2
"813","asked get",2
"814","asked help",2
"815","asked judge",2
"816","asked leave",2
"817","asked lot",2
"818","asked one",4
"819","asked pay",2
"820","asked pick",2
"821","asked question",3
"822","asked questions",3
"823","asked repoer",2
"824","asked stay",2
"825","asked take",3
"826","asked wanted",4
"827","asked whether",2
"828","asking like",2
"829","asleep last",2
"830","aspect game",2
"831","aspirations happiness",2
"832","aspx tabid",2
"833","ass like",2
"834","assembly line",2
"835","assessment woh",2
"836","assets beyond",2
"837","assistance childbih",2
"838","assistant coach",4
"839","assistant manager",2
"840","assistant professor",3
"841","assistant prosecutor",2
"842","assistants mean",2
"843","associate director",2
"844","associated press",10
"845","associates programmes",3
"846","associatio and",3
"847","association america",2
"848","association president",2
"849","assume everyone",2
"850","assume responsibility",2
"851","athletic director",4
"852","atlantic city",9
"853","att accuracy",2
"854","attachment style",2
"855","attempt get",2
"856","attempted make",2
"857","attended younger",2
"858","attention impoant",3
"859","attention third",2
"860","attention way",2
"861","attention well",2
"862","attention yet",2
"863","attorney fees",2
"864","attorney general",10
"865","audio books",2
"866","auditor frank",2
"867","august also",2
"868","august th",3
"869","austi and",2
"870","author michael",2
"871","author new",2
"872","authorities say",4
"873","auto club",2
"874","auto industry",2
"875","auto pas",2
"876","auto production",2
"877","autumn day",2
"878","av alice",2
"879","available different",2
"880","available now",3
"881","available public",2
"882","available purchase",3
"883","ave www",2
"884","average rate",2
"885","average six",2
"886","average unemployment",2
"887","average weekday",2
"888","averaged points",2
"889","avoid repeat",2
"890","aw thanks",3
"891","awaited day",2
"892","awaiting approval",2
"893","awaiting sentencing",3
"894","award chosen",2
"895","award winning",3
"896","awards presented",2
"897","awareness month",2
"898","away a",2
"899","away car",2
"900","away first",3
"901","away home",2
"902","away left",2
"903","away like",2
"904","away little",3
"905","away much",2
"906","away need",2
"907","away never",2
"908","away people",3
"909","away snow",2
"910","away sta",2
"911","away thoughts",2
"912","away thy",2
"913","away two",3
"914","awesome really",2
"915","awfully hard",2
"916","awkward moment",4
"917","b b",6
"918","b c",8
"919","b d",3
"920","b e",3
"921","b j",2
"922","b might",2
"923","b p",2
"924","b pp",4
"925","b projected",2
"926","b side",2
"927","ba ba",6
"928","baalke harbaugh",2
"929","babe ruth",2
"930","baby baby",2
"931","baby born",4
"932","baby girl",3
"933","baby like",2
"934","baby mommy",2
"935","baby one",3
"936","baby shower",3
"937","baby spinach",2
"938","bachelor degree",7
"939","back also",2
"940","back another",3
"941","back back",5
"942","back basics",3
"943","back bed",6
"944","back bit",2
"945","back board",2
"946","back book",2
"947","back car",4
"948","back centuries",2
"949","back come",2
"950","back company",2
"951","back cool",2
"952","back cover",2
"953","back days",2
"954","back didn",3
"955","back door",2
"956","back due",2
"957","back early",4
"958","back end",2
"959","back family",2
"960","back february",2
"961","back feet",2
"962","back first",3
"963","back foh",7
"964","back get",4
"965","back head",4
"966","back home",15
"967","back hope",2
"968","back hotel",2
"969","back injury",4
"970","back just",6
"971","back kid",2
"972","back later",2
"973","back let",2
"974","back life",3
"975","back links",2
"976","back love",2
"977","back may",2
"978","back means",2
"979","back mid",2
"980","back mind",2
"981","back need",4
"982","back new",3
"983","back next",4
"984","back now",2
"985","back office",2
"986","back old",2
"987","back one",4
"988","back original",3
"989","back pain",2
"990","back point",2
"991","back post",2
"992","back probably",2
"993","back regular",2
"994","back room",7
"995","back rubs",2
"996","back s",6
"997","back say",4
"998","back school",7
"999","back seat",6
"1000","back second",2
"1001","back see",3
"1002","back series",2
"1003","back since",3
"1004","back sitting",4
"1005","back sleep",2
"1006","back small",3
"1007","back something",2
"1008","back soon",2
"1009","back south",2
"1010","back square",2
"1011","back stock",2
"1012","back store",2
"1013","back story",5
"1014","back table",2
"1015","back term",2
"1016","back think",2
"1017","back time",6
"1018","back together",3
"1019","back told",2
"1020","back tomorrow",2
"1021","back took",2
"1022","back track",3
"1023","back truth",2
"1024","back two",2
"1025","back u",2
"1026","back us",2
"1027","back using",2
"1028","back ve",2
"1029","back wall",3
"1030","back way",2
"1031","back week",2
"1032","back well",2
"1033","back white",2
"1034","back window",2
"1035","back without",2
"1036","back work",8
"1037","back world",2
"1038","back yard",2
"1039","background checks",2
"1040","backup plan",2
"1041","bacon ham",2
"1042","bad day",2
"1043","bad decisions",3
"1044","bad either",2
"1045","bad except",2
"1046","bad experience",2
"1047","bad guy",2
"1048","bad guys",2
"1049","bad idea",3
"1050","bad move",2
"1051","bad news",5
"1052","bad one",2
"1053","bad really",2
"1054","bad right",3
"1055","bad thing",4
"1056","bad things",5
"1057","bad want",2
"1058","bad words",2
"1059","bad work",2
"1060","bag leather",2
"1061","bag one",3
"1062","bags full",2
"1063","bailout money",4
"1064","bake another",2
"1065","bake minutes",6
"1066","bake preheated",2
"1067","baking bread",2
"1068","baking dish",2
"1069","baking powder",2
"1070","baking sheet",6
"1071","baking sheets",2
"1072","baking tray",2
"1073","balance many",2
"1074","balanced healthful",2
"1075","ball drop",2
"1076","ballast point",2
"1077","ballpark arlington",2
"1078","balls just",2
"1079","baltimore county",2
"1080","baltimore orioles",2
"1081","band many",2
"1082","band one",2
"1083","band played",2
"1084","bank account",3
"1085","bank america",4
"1086","bank credit",2
"1087","bank employee",2
"1088","bank holiday",2
"1089","bankruptcy cou",3
"1090","baptist church",3
"1091","baptized name",3
"1092","bar appears",2
"1093","bar can",2
"1094","barack obama",11
"1095","barai told",2
"1096","barbary coast",2
"1097","bare patches",2
"1098","barely time",2
"1099","bargain hunting",2
"1100","bargain prices",2
"1101","bargaining agreement",4
"1102","barley crusher",2
"1103","barnes noble",3
"1104","barre pa",2
"1105","barred owl",3
"1106","barrel use",2
"1107","base one",2
"1108","base pay",3
"1109","base salary",2
"1110","baseball college",2
"1111","based around",4
"1112","based company",3
"1113","based know",2
"1114","based people",2
"1115","based upon",3
"1116","basic need",2
"1117","basic needs",2
"1118","basic program",3
"1119","basic rights",2
"1120","basically get",3
"1121","basically means",2
"1122","basketball team",3
"1123","batch white",2
"1124","bathroom break",2
"1125","bathroom nearly",2
"1126","baton rouge",2
"1127","bats infected",2
"1128","batter rises",2
"1129","batting average",4
"1130","battlefield halo",2
"1131","battling cancer",2
"1132","bay area",7
"1133","bay bucs",2
"1134","bay packers",3
"1135","bayou teche",2
"1136","bb cream",3
"1137","bb gun",2
"1138","bbc radio",2
"1139","bear witness",2
"1140","beastie boys",2
"1141","beating hea",2
"1142","beautiful clothing",2
"1143","beautiful day",5
"1144","beautiful dresses",2
"1145","beautiful homes",2
"1146","beautiful new",2
"1147","beautiful place",2
"1148","beauty based",2
"1149","beauty beast",2
"1150","beauty grace",2
"1151","beaveon expected",2
"1152","became apparent",2
"1153","became aware",3
"1154","became eligible",2
"1155","became expe",2
"1156","became first",3
"1157","became known",4
"1158","became obvious",2
"1159","became president",2
"1160","became sick",2
"1161","become better",2
"1162","become cottage",2
"1163","become free",2
"1164","become friends",2
"1165","become increasingly",2
"1166","become law",2
"1167","become one",2
"1168","become pa",2
"1169","become perfect",2
"1170","become popular",2
"1171","become something",2
"1172","becomes clear",2
"1173","becomes increasingly",2
"1174","becomes loose",2
"1175","becoming little",2
"1176","becoming real",2
"1177","bed m",3
"1178","beer batter",2
"1179","beer dinner",3
"1180","beer even",2
"1181","beer got",2
"1182","beer just",2
"1183","beer last",2
"1184","beer made",2
"1185","beer nice",2
"1186","beer year",2
"1187","beers tap",2
"1188","began making",2
"1189","began take",2
"1190","began tell",2
"1191","began three",2
"1192","began work",2
"1193","begin january",2
"1194","begin miss",2
"1195","beginning end",5
"1196","beginning get",2
"1197","beginning novel",2
"1198","beginning stages",2
"1199","begotten father",2
"1200","behind back",3
"1201","behind bars",2
"1202","behind cuained",2
"1203","behind just",2
"1204","behind scenes",4
"1205","behind seat",2
"1206","behind us",2
"1207","belgian beer",2
"1208","belgian yeast",3
"1209","believe almost",2
"1210","believe amazing",2
"1211","believe can",4
"1212","believe christian",2
"1213","believe everyone",4
"1214","believe everything",2
"1215","believe get",2
"1216","believe god",4
"1217","believe great",3
"1218","believe just",2
"1219","believe life",2
"1220","believe lord",2
"1221","believe m",2
"1222","believe much",3
"1223","believe never",2
"1224","believe really",2
"1225","believe true",2
"1226","believers brotherhood",2
"1227","believes however",2
"1228","believes impoant",2
"1229","bell pepper",2
"1230","belle brigade",3
"1231","bend wire",2
"1232","beneath surface",2
"1233","benjamin moore",2
"1234","benson farrell",2
"1235","bent shape",2
"1236","berkshire hathaway",2
"1237","bernheim distillery",2
"1238","berrien minutemen",2
"1239","beside excitement",2
"1240","best ability",3
"1241","best advice",2
"1242","best approach",2
"1243","best avoid",2
"1244","best bet",2
"1245","best buddy",2
"1246","best can",5
"1247","best chance",2
"1248","best despite",2
"1249","best ever",4
"1250","best friend",12
"1251","best friends",5
"1252","best hope",2
"1253","best idea",2
"1254","best interest",2
"1255","best just",2
"1256","best kids",2
"1257","best kind",3
"1258","best known",4
"1259","best let",2
"1260","best live",3
"1261","best matter",2
"1262","best moments",2
"1263","best new",2
"1264","best night",2
"1265","best one",5
"1266","best pa",6
"1267","best people",2
"1268","best person",3
"1269","best piece",2
"1270","best play",2
"1271","best player",4
"1272","best records",2
"1273","best restaurants",3
"1274","best selling",4
"1275","best shot",2
"1276","best team",2
"1277","best thing",11
"1278","best things",2
"1279","best time",2
"1280","best times",2
"1281","best use",2
"1282","best way",9
"1283","best ways",2
"1284","best work",4
"1285","bestselling novels",2
"1286","bet american",2
"1287","better already",2
"1288","better anyone",2
"1289","better average",2
"1290","better butter",2
"1291","better can",5
"1292","better deal",2
"1293","better desse",2
"1294","better expected",3
"1295","better future",2
"1296","better get",2
"1297","better go",2
"1298","better god",2
"1299","better job",3
"1300","better known",3
"1301","better late",2
"1302","better left",2
"1303","better life",4
"1304","better like",2
"1305","better many",2
"1306","better never",2
"1307","better news",2
"1308","better now",4
"1309","better one",3
"1310","better others",2
"1311","better person",2
"1312","better photos",2
"1313","better place",3
"1314","better right",4
"1315","better screening",2
"1316","better things",4
"1317","better think",2
"1318","better two",2
"1319","better understand",3
"1320","better understanding",3
"1321","better way",5
"1322","better well",2
"1323","better word",2
"1324","better worse",4
"1325","beverly hills",2
"1326","beyond arc",2
"1327","beyond normal",2
"1328","beyond obvious",2
"1329","beyond reality",2
"1330","bible can",2
"1331","bible college",2
"1332","bible just",2
"1333","big apple",2
"1334","big ass",3
"1335","big bang",3
"1336","big big",3
"1337","big box",5
"1338","big boy",2
"1339","big brother",2
"1340","big day",3
"1341","big deal",14
"1342","big difference",2
"1343","big dog",2
"1344","big east",7
"1345","big fan",4
"1346","big hill",2
"1347","big hit",2
"1348","big idea",2
"1349","big kid",2
"1350","big labor",2
"1351","big league",2
"1352","big mistake",2
"1353","big money",2
"1354","big names",2
"1355","big news",3
"1356","big one",6
"1357","big pa",3
"1358","big pay",2
"1359","big picture",2
"1360","big poo",2
"1361","big problem",3
"1362","big shock",2
"1363","big shoes",2
"1364","big shot",2
"1365","big smile",3
"1366","big spending",2
"1367","big ten",5
"1368","big thank",2
"1369","big thing",2
"1370","big three",2
"1371","big time",7
"1372","big trouble",2
"1373","big way",2
"1374","big words",2
"1375","bigger better",2
"1376","bigger things",2
"1377","biggest challenge",3
"1378","biggest fear",2
"1379","biggest loser",3
"1380","biggest thing",2
"1381","bih control",4
"1382","bih nation",2
"1383","bih story",2
"1384","bihday anyone",2
"1385","bihday card",3
"1386","bihday pay",2
"1387","bike a",2
"1388","bike ride",2
"1389","bill cosby",3
"1390","bill going",3
"1391","bill just",2
"1392","bill republicans",2
"1393","bill rights",2
"1394","billion billion",6
"1395","billion budget",3
"1396","billion dollars",2
"1397","billion new",2
"1398","billion people",2
"1399","billion pounds",2
"1400","billion woh",2
"1401","billion year",4
"1402","billion years",4
"1403","bills signed",2
"1404","bin lade",4
"1405","bin laden",12
"1406","bing detroit",2
"1407","bird two",2
"1408","biscuits also",2
"1409","bismarck noh",6
"1410","bit also",3
"1411","bit better",2
"1412","bit crazy",2
"1413","bit epic",2
"1414","bit going",2
"1415","bit larger",2
"1416","bit light",2
"1417","bit like",3
"1418","bit longer",2
"1419","bit love",2
"1420","bit ocd",2
"1421","bit one",2
"1422","bit sad",2
"1423","bit strange",2
"1424","bit sweet",2
"1425","bit time",2
"1426","bits pieces",4
"1427","bitter end",3
"1428","bitter finish",2
"1429","black coffee",2
"1430","black color",2
"1431","black friday",4
"1432","black hair",2
"1433","black hole",2
"1434","black intellectual",4
"1435","black males",2
"1436","black people",2
"1437","black pepper",2
"1438","black purple",3
"1439","black students",2
"1440","black tenants",2
"1441","black version",2
"1442","black white",12
"1443","black woman",3
"1444","blah blah",2
"1445","blame government",2
"1446","blame one",2
"1447","blend cabernet",2
"1448","bless heas",2
"1449","blessings libey",2
"1450","blind guy",2
"1451","block away",2
"1452","block south",2
"1453","blog author",2
